code,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
000001.XSHE,0.877365,-0.100658,0.437113,0.006575,-1.124276,0.8410989999999999,-0.658571,-0.040693,-0.207364,1.706131
000002.XSHE,0.877365,-1.439733,-1.225616,-0.142524,-1.124276,1.195737,-0.141255,2.113029,0.256864,1.441697
000004.XSHE,-2.295048,-0.479956,-1.02298,1.933448,1.5729879999999998,-0.190126,1.557414,-0.624787,-1.336641,-1.229237
000005.XSHE,-2.733501,-2.208289,-2.057109,0.875959,0.442589,0.293132,-0.248717,-1.154235,-1.225203,-0.637173
000006.XSHE,-1.825014,-1.091329,-0.993829,-0.718828,2.115434,2.189457,-0.651883,0.412736,-0.432822,0.469941
000007.XSHE,-3.020932,-2.26847,-2.95708,2.376823,-0.682577,-1.279015,0.888193,-0.8856450000000001,-1.340844,-0.471447
000008.XSHE,-1.884539,-1.710072,-1.742897,-1.123389,2.080298,1.963293,-1.077405,-0.445959,-0.889122,-0.101669
000009.XSHE,0.111436,0.4815319999999999,1.876771,1.637349,0.07762,-1.008609,1.494817,-1.078035,0.264961,0.228108
000010.XSHE,-2.450428,-2.046009,-0.691873,0.196728,1.247636,-0.911575,0.05678,-1.167276,0.785982,0.097173
000011.XSHE,-1.716202,-0.314942,-0.577054,0.81676,2.156931,0.193907,0.217582,0.915435,0.602144,0.944704
000012.XSHE,-0.282612,0.804654,1.284298,0.589949,0.769787,-0.500788,1.136346,0.019215,-0.8343139999999999,-0.471808
000014.XSHE,-3.091232,-1.312222,-1.347778,-0.766314,-1.00865,0.392501,-0.4778239999999999,0.534093,-1.350903,-0.185132
000016.XSHE,-1.082103,-0.390757,-0.777025,-0.986157,1.900612,0.343857,0.2224199999999999,-0.136798,0.200043,1.95619
000017.XSHE,-2.745103,-1.370678,-0.043826,1.12257,0.403395,-1.382626,0.834791,-0.676247,-1.183802,-0.245218
000019.XSHE,-1.587159,-0.436662,-0.5749810000000001,-0.354971,2.170141,0.27744,0.526149,-0.681811,1.847374,-0.502646
000020.XSHE,-2.573898,-0.970441,-0.983298,-0.341497,0.931458,-1.010629,-0.543542,-0.553271,-0.223038,-0.49498
000021.XSHE,-0.557496,0.5266770000000001,-0.854096,-0.619743,1.221992,-0.349525,0.600403,-0.256337,-0.213981,-0.167895
000023.XSHE,-2.876534,-1.053512,-0.813242,-1.051762,-0.076551,-0.651555,-1.647312,0.2707429999999999,0.213029,-0.241976
000025.XSHE,-1.852714,-0.8829040000000001,-1.576385,-0.911473,2.100204,-0.733002,-0.594266,-0.531748,-0.279986,-1.028901
000026.XSHE,-1.849362,-0.16832,-0.038306,-0.184045,2.10215,-0.028472,0.432307,0.212469,0.218882,-0.7627649999999999
000027.XSHE,-0.082892,-1.295362,1.073624,2.382525,0.4212229999999999,1.686325,0.7523989999999999,0.057686,-0.410835,1.906522
000028.XSHE,-1.043567,-0.933592,-1.231527,-0.882684,1.862258,1.412771,-0.505445,0.997654,0.054657,-0.174156
000029.XSHE,-1.671879,-2.044804,-1.478746,0.451101,2.165741,0.158189,-0.996023,0.5034770000000001,-0.400358,-0.91898
000030.XSHE,-1.32658,-0.939309,-0.603589,-0.373729,2.089303,0.53483,-1.181092,0.646683,-0.132458,-0.639008
000031.XSHE,-1.063764,-1.935954,-1.655081,-0.185722,1.88263,2.443083,-1.247672,2.113029,-0.071646,2.063302
000032.XSHE,-0.835563,-1.676482,-0.292303,0.661193,1.6205040000000002,0.043198,-1.1039290000000002,-0.704019,-0.333093,-0.8884270000000001
000034.XSHE,-1.28289,-0.73093,-0.910768,1.281432,2.062989,-0.17599,1.422067,0.453765,0.3988239999999999,0.493585
000035.XSHE,-1.33129,-1.68147,-1.017542,0.065308,2.091934,1.837582,-1.190747,1.6360860000000002,1.757132,2.063302
000036.XSHE,-1.82881,-1.736323,-1.169841,-0.040891,2.11346,0.882885,-0.236015,-0.109794,-1.214158,-0.062607
000037.XSHE,-2.050876,-1.461221,-2.021772,1.067085,1.932615,-0.11623,0.246253,-0.342868,-2.259862,-0.964769
000038.XSHE,-1.985632,-0.991294,-0.74362,-0.248323,1.999474,0.284889,0.046285,-1.371571,-0.5619109999999999,-1.19141
