date,code,open,pre_close,high_limit,low_limit,paused,zt,dt
2020-02-24,000001.XSHE,15.46,15.58,17.14,14.02,0.0,0,0
2020-02-24,000002.XSHE,29.1,29.25,32.18,26.33,0.0,0,0
2020-02-24,000004.XSHE,37.8,34.36,37.8,30.92,0.0,1,0
2020-02-24,000005.XSHE,2.91,2.92,3.21,2.63,0.0,0,0
2020-02-24,000006.XSHE,4.83,4.89,5.38,4.4,0.0,0,0
2020-02-24,000007.XSHE,8.1,8.15,8.97,7.34,0.0,0,0
2020-02-24,000008.XSHE,3.34,3.33,3.66,3.0,0.0,0,0
2020-02-24,000009.XSHE,8.15,8.19,9.01,7.37,0.0,0,0
2020-02-24,000010.XSHE,3.66,3.66,3.84,3.48,0.0,0,0
2020-02-24,000011.XSHE,8.17,8.21,9.03,7.39,0.0,0,0
2020-02-24,000012.XSHE,5.25,5.34,5.87,4.81,0.0,0,0
2020-02-24,000014.XSHE,8.61,8.64,9.5,7.78,0.0,0,0
2020-02-24,000016.XSHE,11.21,11.61,12.77,10.45,0.0,0,0
2020-02-24,000017.XSHE,3.99,4.01,4.41,3.61,0.0,0,0
2020-02-24,000019.XSHE,5.88,5.88,6.47,5.29,0.0,0,0
2020-02-24,000020.XSHE,10.34,10.37,11.41,9.33,0.0,0,0
2020-02-24,000021.XSHE,22.0,21.4,23.54,19.26,0.0,0,0
2020-02-24,000023.XSHE,12.0,11.99,13.19,10.79,0.0,0,0
2020-02-24,000025.XSHE,19.44,19.5,21.45,17.55,0.0,0,0
2020-02-24,000026.XSHE,10.46,10.54,11.59,9.49,0.0,0,0
2020-02-24,000027.XSHE,5.66,5.66,6.23,5.09,0.0,0,0
2020-02-24,000028.XSHE,46.8,47.03,51.73,42.33,0.0,0,0
2020-02-24,000029.XSHE,11.17,11.17,11.17,11.17,1.0,0,0
2020-02-24,000030.XSHE,4.77,4.77,5.25,4.29,0.0,0,0
2020-02-24,000031.XSHE,5.94,5.95,6.55,5.36,0.0,0,0
2020-02-24,000032.XSHE,18.65,18.56,20.42,16.7,0.0,0,0
2020-02-24,000034.XSHE,26.0,25.82,28.4,23.24,0.0,0,0
2020-02-24,000035.XSHE,5.57,5.6,6.16,5.04,0.0,0,0
2020-02-24,000036.XSHE,3.77,3.78,4.16,3.4,0.0,0,0
2020-02-24,000037.XSHE,11.2,11.28,12.41,10.15,0.0,0,0
2020-02-24,000038.XSHE,10.52,10.73,11.8,9.66,0.0,0,0
2020-02-24,000039.XSHE,8.59,8.61,9.47,7.75,0.0,0,0
2020-02-24,000040.XSHE,3.75,3.78,4.16,3.4,0.0,0,0
2020-02-24,000042.XSHE,9.5,9.49,10.44,8.54,0.0,0,0
2020-02-24,000045.XSHE,8.15,8.12,8.93,7.31,0.0,0,0
2020-02-24,000046.XSHE,4.62,4.68,5.15,4.21,0.0,0,0
2020-02-24,000048.XSHE,23.54,23.93,26.32,21.54,0.0,0,0
2020-02-24,000049.XSHE,48.3,48.3,53.13,43.47,0.0,0,0
2020-02-24,000050.XSHE,18.25,17.9,19.69,16.11,0.0,0,0
2020-02-24,000055.XSHE,4.5,4.49,4.94,4.04,0.0,0,0
2020-02-24,000056.XSHE,3.88,3.86,4.25,3.47,0.0,0,0
2020-02-24,000058.XSHE,7.3,7.3,8.03,6.57,0.0,0,0
2020-02-24,000059.XSHE,6.15,5.96,6.56,5.36,0.0,0,0
2020-02-24,000060.XSHE,4.02,4.0,4.4,3.6,0.0,0,0
