code,low_close_diff
603398.XSHG,-1.1600000000000001
600871.XSHG,0.0
600215.XSHG,-0.16999999999999993
000521.XSHE,-0.060000000000002274
688221.XSHG,-1.0700000000000003
600311.XSHG,-0.41000000000000014
002119.XSHE,-1.8500000000000014
600621.XSHG,-41.01000000000022
000421.XSHE,-0.3999999999999986
601155.XSHG,-1.3100000000000023
601020.XSHG,-0.010000000000000675
300690.XSHE,-0.8000000000000043
002133.XSHE,-0.08999999999999986
300536.XSHE,-1.2899999999999991
003016.XSHE,-0.23000000000000043
002577.XSHE,-0.4499999999999993
000545.XSHE,-0.3500000000000014
600151.XSHG,-1.0899999999999963
600815.XSHG,-0.19000000000000128
603739.XSHG,-0.4299999999999997
000607.XSHE,-0.10999999999999943
002369.XSHE,-0.129999999999999
300011.XSHE,-0.3399999999999963
600888.XSHG,-0.2400000000000091
002631.XSHE,-0.25
002552.XSHE,-0.5300000000000011
000514.XSHE,-0.10999999999999943
601106.XSHG,0.0
600649.XSHG,-0.4300000000000068
600184.XSHG,-1.9200000000000017
600297.XSHG,-0.060000000000002274
002970.XSHE,-1.5600000000000023
600429.XSHG,-0.15000000000000036
600537.XSHG,-0.18000000000000327
300649.XSHE,-1.009999999999998
688586.XSHG,-1.0100000000000016
688037.XSHG,-2.9099999999999966
688059.XSHG,-4.4199999999999875
002632.XSHE,-0.9200000000000017
300267.XSHE,-0.4100000000000037
688058.XSHG,-1.9300000000000068
688002.XSHG,-5.900000000000006
002543.XSHE,-0.19000000000000483
603607.XSHG,-0.6099999999999994
600676.XSHG,-0.5900000000000034
002224.XSHE,-0.6299999999999955
002556.XSHE,-0.490000000000002
301001.XSHE,-0.20000000000000284
002474.XSHE,-0.6299999999999955
688006.XSHG,-9.050000000000011
002522.XSHE,-2.039999999999999
000985.XSHE,-0.0799999999999983
002296.XSHE,-0.259999999999998
000955.XSHE,-0.08999999999999986
300806.XSHE,-5.909999999999997
601233.XSHG,-1.3900000000000006
600802.XSHG,-0.16000000000000014
600501.XSHG,-0.4200000000000017
300545.XSHE,-0.28000000000000114
000961.XSHE,-0.1700000000000017
603906.XSHG,-2.4399999999999977
601949.XSHG,-0.1200000000000001
002430.XSHE,-2.720000000000013
600236.XSHG,-0.28000000000000114
600860.XSHG,-0.009999999999999787
601118.XSHG,-0.08000000000000007
002753.XSHE,-0.4599999999999973
600856.XSHG,-0.4200000000000017
601577.XSHG,-0.21999999999999886
688606.XSHG,-7.269999999999982
300456.XSHE,-1.6699999999999875
688613.XSHG,-17.780000000000015
600890.XSHG,-0.1800000000000015
000557.XSHE,-0.41000000000000014
002405.XSHE,-3.200000000000003
603010.XSHG,-10.27000000000001
003005.XSHE,-0.5899999999999963
300273.XSHE,-2.789999999999999
000752.XSHE,-0.9599999999999973
000627.XSHE,-1.740000000000009
002687.XSHE,-0.21000000000000085
600578.XSHG,-0.3299999999999983
603227.XSHG,-0.16000000000000014
603800.XSHG,-0.07000000000000028
002061.XSHE,-0.02000000000000135
300907.XSHE,-0.8000000000000007
603825.XSHG,-0.490000000000002
688129.XSHG,-0.490000000000002
000860.XSHE,-1.460000000000008
300979.XSHE,-2.0600000000000023
600018.XSHG,-0.019999999999999574
002353.XSHE,-13.689999999999998
603366.XSHG,-0.16999999999999993
300444.XSHE,-0.8099999999999987
688089.XSHG,-0.9699999999999989
300500.XSHE,-0.34999999999999787
002588.XSHE,-0.0899999999999963
600378.XSHG,-2.049999999999997
300502.XSHE,-6.210000000000008
300055.XSHE,-0.1599999999999966
603037.XSHG,-0.33000000000000185
603666.XSHG,-0.5099999999999909
300122.XSHE,-17.75999999999999
688185.XSHG,-12.009999999999991
600380.XSHG,-2.119999999999976
300926.XSHE,-1.0899999999999999
002140.XSHE,-0.7899999999999991
300528.XSHE,-0.04999999999999982
603019.XSHG,-0.5999999999999943
000995.XSHE,-4.419999999999995
603598.XSHG,-2.419999999999998
000875.XSHE,-0.22000000000000064
300180.XSHE,-0.14999999999999858
300685.XSHE,-8.25
601108.XSHG,-0.16000000000000014
600573.XSHG,-0.41999999999999993
600266.XSHG,-0.17999999999999972
605318.XSHG,-0.34999999999999964
002749.XSHE,-0.8999999999999986
300103.XSHE,-0.5600000000000023
600331.XSHG,-0.2700000000000031
600867.XSHG,-4.4599999999999795
600180.XSHG,-0.120000000000001
