code,date,momentum_5d
603999.XSHG,2023-06-16,-0.134847080630213
300510.XSHE,2023-06-16,-0.01910408432147559
002289.XSHE,2023-06-16,-0.03783231083844574
002481.XSHE,2023-06-16,0.033671252715423705
300724.XSHE,2023-06-16,0.10778701803650481
688328.XSHG,2023-06-16,-0.011250540891388883
600220.XSHG,2023-06-16,0.00855130784708269
600730.XSHG,2023-06-16,-0.0015801948907032681
603108.XSHG,2023-06-16,0.046312178387650116
600199.XSHG,2023-06-16,0.06083124513954896
601018.XSHG,2023-06-16,-0.015217391304347738
601336.XSHG,2023-06-16,0.015545192094159388
000951.XSHE,2023-06-16,0.044762159273116
600599.XSHG,2023-06-16,-0.004407051282051211
002443.XSHE,2023-06-16,0.004518072289156683
688161.XSHG,2023-06-16,0.06426155580608794
603969.XSHG,2023-06-16,0.018199704869650724
600883.XSHG,2023-06-16,0.01612446958981617
300307.XSHE,2023-06-16,0.03338391502276172
603917.XSHG,2023-06-16,0.17572649572649568
301088.XSHE,2023-06-16,-0.0060672917815775
600355.XSHG,2023-06-16,0.033542976939203495
300547.XSHE,2023-06-16,0.0703461477109586
000554.XSHE,2023-06-16,0.010912397696271503
000516.XSHE,2023-06-16,-0.010017323190479765
301236.XSHE,2023-06-16,-0.016407852329329065
601229.XSHG,2023-06-16,-0.017331932773109182
600039.XSHG,2023-06-16,-0.008746583365872751
301228.XSHE,2023-06-16,0.0018999366687777464
301260.XSHE,2023-06-16,0.07802690582959637
001328.XSHE,2023-06-16,-0.03141654978962127
601020.XSHG,2023-06-16,-0.04303428154631672
000869.XSHE,2023-06-16,0.08795437366865944
603725.XSHG,2023-06-16,0.06334841628959276
603177.XSHG,2023-06-16,-0.02704918032786885
301419.XSHE,2023-06-16,0.13793103448275867
600288.XSHG,2023-06-16,0.044402277039848226
300164.XSHE,2023-06-16,-0.009035056017347332
002012.XSHE,2023-06-16,0.02599814298978642
605133.XSHG,2023-06-16,0.0985480383070747
300936.XSHE,2023-06-16,-0.0018575851393187737
001380.XSHE,2023-06-16,0.04636233951497859
688182.XSHG,2023-06-16,0.1788546255506609
002590.XSHE,2023-06-16,0.04455324357405144
300738.XSHE,2023-06-16,0.021568773789088613
300894.XSHE,2023-06-16,0.05059409735530851
300207.XSHE,2023-06-16,0.041016166281755195
002938.XSHE,2023-06-16,0.02394313505424628
600095.XSHG,2023-06-16,0.04828660436137078
002876.XSHE,2023-06-16,-0.02844856103208726
002502.XSHE,2023-06-16,0.02915451895043719
002542.XSHE,2023-06-16,-0.01397689153932169
000736.XSHE,2023-06-16,0.05933837709538636
600623.XSHG,2023-06-16,-0.011005476903999112
301012.XSHE,2023-06-16,-0.0466719702996552
300534.XSHE,2023-06-16,-0.03291278113000551
603815.XSHG,2023-06-16,0.013986013986013957
000096.XSHE,2023-06-16,0.005244755244755206
300359.XSHE,2023-06-16,0.014718921794644402
002826.XSHE,2023-06-16,-0.04173913043478261
600382.XSHG,2023-06-16,0.012345679012345734
300512.XSHE,2023-06-16,0.059018812246403485
600588.XSHG,2023-06-16,0.062137811796801
300885.XSHE,2023-06-16,0.05634301913536488
600361.XSHG,2023-06-16,0.03241252302025788
600236.XSHG,2023-06-16,-0.029815979501514156
000565.XSHE,2023-06-16,0.026049204052098318
000998.XSHE,2023-06-16,0.020375430676012884
300531.XSHE,2023-06-16,0.017094017094017255
002224.XSHE,2023-06-16,0.07120253164556956
002337.XSHE,2023-06-16,0.0664970930232558
688055.XSHG,2023-06-16,0.0023529411764704466
301390.XSHE,2023-06-16,-0.03227848101265829
002453.XSHE,2023-06-16,0.0011544677903485567
601512.XSHG,2023-06-16,-0.033041788143828965
300799.XSHE,2023-06-16,0.04673794571028189
603697.XSHG,2023-06-16,0.0644932671863927
000155.XSHE,2023-06-16,0.012499999999999956
301205.XSHE,2023-06-16,0.11513305706725241
301129.XSHE,2023-06-16,0.011268910157456125
600667.XSHG,2023-06-16,0.05747126436781613
300437.XSHE,2023-06-16,0.046389167502507433
002836.XSHE,2023-06-16,0.03785488958990535
600537.XSHG,2023-06-16,0.07708049113233284
603816.XSHG,2023-06-16,0.04230818993401475
300514.XSHE,2023-06-16,0.10182318541451663
688531.XSHG,2023-06-16,-0.013418033318208455
300033.XSHE,2023-06-16,0.16447228569910188
002459.XSHE,2023-06-16,0.09535099474280995
300084.XSHE,2023-06-16,0.011623683254631256
301176.XSHE,2023-06-16,0.010663507109004655
688278.XSHG,2023-06-16,0.012119771863118078
000679.XSHE,2023-06-16,0.004016064257028162
688581.XSHG,2023-06-16,0.030518819938962327
688766.XSHG,2023-06-16,0.041282463412571024
600403.XSHG,2023-06-16,-0.009678668215253539
688173.XSHG,2023-06-16,-0.03275934481310361
300366.XSHE,2023-06-16,0.0256935902692359
603280.XSHG,2023-06-16,0.010761589403973648
000055.XSHE,2023-06-16,0.006306495690561187
300876.XSHE,2023-06-16,0.003940110323089163
002992.XSHE,2023-06-16,-0.09231152027867628
300025.XSHE,2023-06-16,0.007980411716695501
688676.XSHG,2023-06-16,0.07035351767588383
300363.XSHE,2023-06-16,0.05014326647564471
600290.XSHG,2023-06-16,-0.014204545454545414
300994.XSHE,2023-06-16,0.06239737274220025
688419.XSHG,2023-06-16,0.01917159763313614
603008.XSHG,2023-06-16,0.07260556127703377
601236.XSHG,2023-06-16,0.004469273743016755
600742.XSHG,2023-06-16,0.02629437175233207
300346.XSHE,2023-06-16,0.010847943134498772
300726.XSHE,2023-06-16,0.027154046997389214
688323.XSHG,2023-06-16,0.0908649173955296
601956.XSHG,2023-06-16,0.02083333333333326
002467.XSHE,2023-06-16,0.022971887550200742
000159.XSHE,2023-06-16,0.0651808242220353
001218.XSHE,2023-06-16,0.003718624109079638
688251.XSHG,2023-06-16,0.04659498207885315
301121.XSHE,2023-06-16,-0.013867781155015302
600592.XSHG,2023-06-16,0.06751954513148539
600331.XSHG,2023-06-16,0.016917293233082775
688680.XSHG,2023-06-16,0.12515584540136193
002261.XSHE,2023-06-16,0.09529135443462722
002310.XSHE,2023-06-16,-0.0058691308691308786
300841.XSHE,2023-06-16,-0.06973707638435511
300850.XSHE,2023-06-16,0.053217821782178154
002181.XSHE,2023-06-16,0.03068450039339088
000837.XSHE,2023-06-16,0.08577494692144372
688767.XSHG,2023-06-16,-0.013194231359312858
600808.XSHG,2023-06-16,0.004552352048558417
002714.XSHE,2023-06-16,0.04019881293870364
601288.XSHG,2023-06-16,-0.02749638205499283
603617.XSHG,2023-06-16,0.09542586750788651
603799.XSHG,2023-06-16,0.003587679383969089
002579.XSHE,2023-06-16,0.11019806152549516
688656.XSHG,2023-06-16,-0.019071310116086204
300386.XSHE,2023-06-16,0.0017191977077362086
600428.XSHG,2023-06-16,0.03225018323967754
300286.XSHE,2023-06-16,0.06496753489066331
600828.XSHG,2023-06-16,-0.02493867538838923
