code,volume_turnover_ratio
600689.XSHG,606379.1316365311
600865.XSHG,691446.6950959489
600677.XSHG,663276.7063979197
601666.XSHG,9338185.623440392
002843.XSHE,1291436.2946641527
600476.XSHG,784571.6080817434
300259.XSHE,515353.1339614912
000831.XSHE,2361916.0714285714
600008.XSHG,7435340.024811097
300534.XSHE,863389.8206212629
600720.XSHG,696062.0525059665
000707.XSHE,1446771.3444553483
300741.XSHE,1054413.5877002336
000603.XSHE,1383952.7067578924
600691.XSHG,1860224.3771808813
300305.XSHE,609475.0972042214
000688.XSHE,2271238.149412211
002441.XSHE,864818.1276088252
300184.XSHE,705846.3244712425
600064.XSHG,755602.531304699
002841.XSHE,2242338.172502135
600462.XSHG,1182719.5976288845
300370.XSHE,441645.4363517371
600551.XSHG,1377307.1495766698
300711.XSHE,462209.5085654958
002890.XSHE,389678.9923791321
601858.XSHG,7690025.658968976
002695.XSHE,1098044.0193255574
603327.XSHG,510000.11212899315
603600.XSHG,1071806.3132249352
300181.XSHE,640384.8908614839
002467.XSHE,1043186.7895460033
600083.XSHG,2279932.2401554934
600737.XSHG,1698973.8244151033
300742.XSHE,429607.6631598767
603305.XSHG,763256.3410930027
000488.XSHE,1787449.0724536225
000632.XSHE,608715.4283511612
600339.XSHG,13873171.299288947
600118.XSHG,708528.8402820185
002968.XSHE,179103.18933149194
603185.XSHG,318499.7621815876
603899.XSHG,4348885.017421603
600331.XSHG,2263026.27104234
300297.XSHE,1083408.1892166836
000420.XSHE,2717271.2578499694
002159.XSHE,910317.9710819909
002724.XSHE,1772920.834877115
300007.XSHE,573437.9309007169
300429.XSHE,500968.9468287682
600523.XSHG,1995153.4126487165
601633.XSHG,16651896.321070235
603711.XSHG,482017.2032440403
002333.XSHE,1304456.6219399776
002940.XSHE,416458.896108637
300384.XSHE,335312.3935851076
603021.XSHG,1200564.4820295984
000159.XSHE,1499951.0616950262
300135.XSHE,750925.3922510407
600051.XSHG,682603.197483947
300507.XSHE,390996.55280476337
000301.XSHE,5510831.215048297
002540.XSHE,1145688.6281861337
601727.XSHG,96752106.39606397
000012.XSHE,615814.2895251645
603636.XSHG,1128971.9738703754
002237.XSHE,1033581.8570867116
002122.XSHE,1400866.6941807678
000993.XSHE,2048307.953340403
300809.XSHE,392300.9778001595
688028.XSHG,190000.48023819816
002635.XSHE,764995.5805988288
300770.XSHE,320996.7028809253
002665.XSHE,1637414.8182026069
601698.XSHG,4000010.2064934783
002542.XSHE,646744.8717408703
603329.XSHG,631656.0897157263
600151.XSHG,3011635.524623648
300644.XSHE,407739.8482113641
300567.XSHE,537159.7877545833
002514.XSHE,608092.386994449
600641.XSHG,369575.29465990653
300525.XSHE,507989.49389253394
300752.XSHE,202658.97001934235
300205.XSHE,756419.9511151848
300572.XSHE,658435.290790838
600354.XSHG,1769380.724589313
603387.XSHG,648315.7540617023
000609.XSHE,480690.6857727738
002024.XSHE,888458.3118224058
601966.XSHG,11396061.712010616
002616.XSHE,1042904.5676345893
002826.XSHE,1325072.3637510845
300414.XSHE,780010.1178954777
300535.XSHE,380899.48952649185
601518.XSHG,10565545.714285715
000888.XSHE,848772.4388032638
300134.XSHE,1642642.7327850154
600444.XSHG,725603.6911121904
002252.XSHE,2058370.7749381696
000716.XSHE,1685630.91438254
600111.XSHG,1851846.9814704123
002790.XSHE,924729.2418772563
002384.XSHE,1673896.9907645474
603982.XSHG,500000.00000000006
002607.XSHE,814214.8685403445
600082.XSHG,1058044.1478439425
600393.XSHG,1090268.437296946
000818.XSHE,3280435.346825274
300715.XSHE,387120.07353215164
600823.XSHG,745795.3509571558
601900.XSHG,8333688.940992575
002715.XSHE,849358.2940251572
300243.XSHE,426915.8492514197
603986.XSHG,1001890.5419002444
601618.XSHG,157389990.567309
300221.XSHE,1002317.887224798
600200.XSHG,641052.1282433174
300474.XSHE,709692.5166277814
002366.XSHE,2142770.744666432
300647.XSHE,472124.0350429197
601611.XSHG,25708494.130346783
603788.XSHG,1417066.546531085
600086.XSHG,1097369.4419137745
603003.XSHG,4115947.132704795
002747.XSHE,1182541.353931356
600190.XSHG,6660465.000827404
603032.XSHG,1322449.742617177
601918.XSHG,17088869.307949577
300324.XSHE,461470.10128554737
603803.XSHG,2129252.4858461395
600259.XSHG,2871667.9183450537
603013.XSHG,585932.9360416317
603069.XSHG,3100579.346142576
600225.XSHG,4338965.833459386
600613.XSHG,172466.1549941371
002957.XSHE,410002.0884674826
603912.XSHG,759509.8305305556
600917.XSHG,14579992.681141742
002694.XSHE,1238833.6129047084
600975.XSHG,899498.466607941
002782.XSHE,1653311.6883116881
688168.XSHG,121552.37850181723
300488.XSHE,189745.13092908397
601838.XSHG,17726510.521228343
002154.XSHE,947415.7535484649
300545.XSHE,355203.925774268
300806.XSHE,292098.6483552895
600219.XSHG,14100832.091690544
000812.XSHE,958800.9385306684
000608.XSHE,649267.6056338028
002047.XSHE,3891655.4737438303
600178.XSHG,2188939.2406770517
688078.XSHG,160989.74278462466
002316.XSHE,880539.8817866065
603053.XSHG,888900.0400248666
603579.XSHG,680194.3059019118
600071.XSHG,412227.9972279972
000552.XSHE,3480400.0606152443
600777.XSHG,1327650.340032093
603089.XSHG,1031294.5368171021
603879.XSHG,795341.4721723518
600616.XSHG,17806.949806949808
688188.XSHG,241247.42398115827
300103.XSHE,484297.3748974569
300513.XSHE,789147.7725994039
600856.XSHG,2254973.295242827
002323.XSHE,738131.2816030963
000759.XSHE,948143.8376603998
300439.XSHE,655971.8456725756
002193.XSHE,1261275.2114508783
002186.XSHE,1301515.6471486206
002699.XSHE,957833.3914950895
000985.XSHE,788560.2888086642
002250.XSHE,1490248.4000433886
300428.XSHE,393688.7184925361
600085.XSHG,1208856.1591430756
300077.XSHE,1057333.3333333335
000155.XSHE,8078843.411155611
002073.XSHE,894361.7867819429
603042.XSHG,1003264.1963003137
000810.XSHE,1858050.4908835904
300109.XSHE,271212.9086517726
000666.XSHE,1551512.3440116688
002344.XSHE,2912348.593338569
002897.XSHE,416480.09320637985
600143.XSHG,1331490.1211733592
601566.XSHG,3927373.711987937
300464.XSHE,996564.8222163011
688033.XSHG,459164.4461362771
600864.XSHG,1997379.3410868421
300710.XSHE,332788.05004736857
002278.XSHE,1595070.4382203908
000526.XSHE,389305.6358001996
002168.XSHE,529288.8371564841
603106.XSHG,1178011.0948224163
300569.XSHE,520341.7199852472
000755.XSHE,1715768.9784442363
300047.XSHE,954826.7423649178
601881.XSHG,62080723.81448671
002061.XSHE,3529863.5879691243
603259.XSHG,7140509.895227008
000848.XSHE,431093.012806111
300721.XSHE,414248.93617021275
600626.XSHG,713720.7673516801
002055.XSHE,718601.3563952288
300126.XSHE,544491.0729184047
600732.XSHG,918108.0178301984
600715.XSHG,3304566.666666667
002440.XSHE,1935401.3330107124
002550.XSHE,1000979.255430607
688020.XSHG,192000.4931740232
300385.XSHE,481908.3426481048
000680.XSHE,1989116.4084227253
601328.XSHG,213687692.80622166
000899.XSHE,2632722.9532163744
002632.XSHE,1018303.4657650042
601233.XSHG,6053802.090791923
002095.XSHE,570398.583977973
300140.XSHE,873516.772399409
300090.XSHE,1566512.7627627626
002472.XSHE,1088938.4687646783
300615.XSHE,365674.95698420145
600419.XSHG,847461.6658652562
300401.XSHE,904194.1666890063
603388.XSHG,427514.9136577708
300310.XSHE,881761.9726877976
300612.XSHE,268020.72829131654
300755.XSHE,657448.458105851
300108.XSHE,721982.3559937727
600100.XSHG,1398099.4133195798
002698.XSHE,3096955.045947512
300500.XSHE,585556.9712413541
002337.XSHE,1128286.3259298902
300368.XSHE,589132.1517412935
002378.XSHE,4414279.723583958
002150.XSHE,634587.0801982015
300437.XSHE,464334.0843461429
002576.XSHE,1217787.865590137
000099.XSHE,1600020.4151071792
603030.XSHG,1762289.3492018923
002052.XSHE,1092156.996296454
300160.XSHE,820254.8321924098
002301.XSHE,1341749.8753650025
002239.XSHE,3403728.1642574305
300541.XSHE,1188629.2327475352
603111.XSHG,3243989.6350586554
603286.XSHG,452346.1287008499
300314.XSHE,504259.3704737344
002265.XSHE,3043101.9934606054
600093.XSHG,1991240.37217327
002006.XSHE,588895.4536735086
603076.XSHG,264657.6975476839
600195.XSHG,1627990.5398793018
300457.XSHE,740008.0070799444
000567.XSHE,461618.4943268444
300577.XSHE,280764.7185448283
603101.XSHG,2369571.356137135
300610.XSHE,699870.7917593855
600061.XSHG,7084873.489694386
002043.XSHE,1051643.5528028365
000421.XSHE,574317.9377013964
002163.XSHE,1720440.1922895655
300654.XSHE,432838.9080822231
000798.XSHE,1386277.52534079
603987.XSHG,2018407.2524861249
002104.XSHE,898800.1400824331
600697.XSHG,508204.4260232403
300433.XSHE,7863358.600583091
000088.XSHE,2641276.773296245
601028.XSHG,3284783.4008097164
300188.XSHE,453370.42847337975
300531.XSHE,796518.949268097
600863.XSHG,3312063.65159129
601766.XSHG,200643763.02083334
603687.XSHG,499999.9536352298
600229.XSHG,4786120.836891546
002543.XSHE,1374811.6404225633
002089.XSHE,720145.6176526858
601229.XSHG,51232774.23469388
002860.XSHE,316447.6261115232
002901.XSHE,390191.4835909954
300248.XSHE,319732.18707988394
002185.XSHE,2633179.0646708566
002781.XSHE,2007434.1997711295
002321.XSHE,2576630.9916884894
002363.XSHE,1723939.4321236562
002569.XSHE,896596.9368696302
600936.XSHG,16366167.664670661
603195.XSHG,600002.5519827796
000416.XSHE,540931.8481490958
000570.XSHE,707550.0
000560.XSHE,3463940.465328467
600391.XSHG,1403265.4777927322
000423.XSHE,646605.3346505311
002861.XSHE,483642.75083930366
300593.XSHE,673243.7507621022
600180.XSHG,3623594.674556213
002756.XSHE,913202.0242111529
300661.XSHE,328781.48841226427
002331.XSHE,626907.0962453895
603133.XSHG,1116817.762237762
002511.XSHE,1573580.7267278514
300234.XSHE,509306.0643060643
300283.XSHE,366137.9240710824
600881.XSHG,618229.3621013133
603098.XSHG,3876760.396975425
300642.XSHE,351592.2299801069
600682.XSHG,821372.9781160799
300364.XSHE,1267641.161334175
002558.XSHE,4876174.142480211
688007.XSHG,607308.7435465613
600983.XSHG,2177750.870791176
002133.XSHE,2172668.4492925573
002038.XSHE,483601.2833853625
600713.XSHG,627912.3311932698
601012.XSHG,3896987.0213450603
601500.XSHG,7074587.78173191
300461.XSHE,342909.99661459593
002908.XSHE,773967.159854239
002930.XSHE,971481.4727289913
600212.XSHG,1880587.749199463
600575.XSHG,2207241.4789139223
600511.XSHG,507511.0121006531
300417.XSHE,196535.41343382842
000878.XSHE,5586713.432949318
600837.XSHG,3586171.2043168996
600110.XSHG,814486.834887548
603883.XSHG,2580400.08062078
000581.XSHE,1718779.0296619912
688021.XSHG,182003.33533712113
002932.XSHE,295563.0571331854
002033.XSHE,1027042.2801057001
600736.XSHG,424010.25216175633
000546.XSHE,3315011.424780718
300409.XSHE,568616.3103721298
601811.XSHG,7271723.750701852
002734.XSHE,860914.7026573351
600855.XSHG,2109310.9353750064
300775.XSHE,493997.51102682843
002751.XSHE,586663.5090504109
603331.XSHG,310103.10253499815
300142.XSHE,1013826.6786750726
601717.XSHG,6432122.897733208
688111.XSHG,666420.7373831398
002868.XSHE,370834.1881373318
601699.XSHG,5154305.752155449
