code,date,volume_turnover_ratio
600418.XSHG,2023-02-09,2983972.128178884
603398.XSHG,2023-02-09,1092463.915775174
300550.XSHE,2023-02-09,941936.0204304508
603178.XSHG,2023-02-09,2209960.0984803466
688505.XSHG,2023-02-09,2660152.227722772
001211.XSHE,2023-02-09,362158.9894968078
002408.XSHE,2023-02-09,3126965.081723626
300191.XSHE,2023-02-09,537407.6070218664
600989.XSHG,2023-02-09,65814716.98113208
002586.XSHE,2023-02-09,1443636.633076467
688521.XSHG,2023-02-09,2074056.1981469146
600986.XSHG,2023-02-09,2275144.047885433
002960.XSHE,2023-02-09,2164766.97306886
301366.XSHE,2023-02-09,181764.79247335915
002077.XSHE,2023-02-09,3950652.4930600044
002959.XSHE,2023-02-09,1156855.7975279575
600285.XSHG,2023-02-09,723989.0317360424
605258.XSHG,2023-02-09,367291.5769600212
600338.XSHG,2023-02-09,4821790.701533939
600640.XSHG,2023-02-09,800578.0722265523
600608.XSHG,2023-02-09,29849.730649277004
300800.XSHE,2023-02-09,550810.8108108109
002194.XSHE,2023-02-09,1364491.8319488056
603881.XSHG,2023-02-09,2325476.979796929
301338.XSHE,2023-02-09,166570.5546144753
002482.XSHE,2023-02-09,1803163.6667064014
002742.XSHE,2023-02-09,877391.6113543286
300229.XSHE,2023-02-09,1374080.5537089899
301047.XSHE,2023-02-09,299233.3268140035
601086.XSHG,2023-02-09,5194122.54160363
601988.XSHG,2023-02-09,958578565.5737704
603060.XSHG,2023-02-09,2107464.525765497
002724.XSHE,2023-02-09,1879606.492867683
002839.XSHE,2023-02-09,15214879.974048443
688779.XSHG,2023-02-09,10303342.062488712
002115.XSHE,2023-02-09,1109422.368076859
003006.XSHE,2023-02-09,2066961.204929256
300830.XSHE,2023-02-09,2381883.4090857697
605005.XSHG,2023-02-09,504002.82569898874
002941.XSHE,2023-02-09,6275965.212432278
603315.XSHG,2023-02-09,1486190.9292737076
300521.XSHE,2023-02-09,792510.5893743192
000632.XSHE,2023-02-09,608650.2847034109
000019.XSHE,2023-02-09,707317.3494430811
002639.XSHE,2023-02-09,2103462.166131752
301219.XSHE,2023-02-09,251212.19112068083
601998.XSHG,2023-02-09,196744623.65591398
000985.XSHE,2023-02-09,773026.4827819613
600824.XSHG,2023-02-09,317657.4700676731
300903.XSHE,2023-02-09,1437425.0777310375
300963.XSHE,2023-02-09,510466.6918870585
000922.XSHE,2023-02-09,2091697.7507404145
301149.XSHE,2023-02-09,1837661.3290632505
688110.XSHG,2023-02-09,2519405.3176781745
600655.XSHG,2023-02-09,144697.6149914821
300561.XSHE,2023-02-09,298994.22466069885
688279.XSHG,2023-02-09,218545.23742624334
688767.XSHG,2023-02-09,374965.1815293083
688266.XSHG,2023-02-09,1433966.5427509292
600105.XSHG,2023-02-09,1189886.3974305596
000609.XSHE,2023-02-09,480891.71974522294
300706.XSHE,2023-02-09,533431.4434926993
301088.XSHE,2023-02-09,546523.1266754606
600587.XSHG,2023-02-09,717302.103879027
002461.XSHE,2023-02-09,10258838.47910255
002467.XSHE,2023-02-09,1179697.611458015
601727.XSHG,2023-02-09,110572534.95440729
000880.XSHE,2023-02-09,412966.8029595016
601799.XSHG,2023-02-09,2217566.87535572
002080.XSHE,2023-02-09,3307833.9063739753
605300.XSHG,2023-02-09,571253.3303100731
603926.XSHG,2023-02-09,1071910.5358020647
688013.XSHG,2023-02-09,386243.49901952426
603050.XSHG,2023-02-09,1253909.5565943338
