CSI 300 Index,CSI 500 Index,CSI 800 index
601878.XSHG,300024.XSHE,000166.XSHE
000786.XSHE,600637.XSHG,300024.XSHE
603195.XSHG,601997.XSHG,600637.XSHG
601318.XSHG,000783.XSHE,601997.XSHG
300454.XSHE,688017.XSHG,000783.XSHE
600426.XSHG,002797.XSHE,601229.XSHG
601336.XSHG,000031.XSHE,601066.XSHG
601100.XSHG,000623.XSHE,688017.XSHG
688036.XSHG,000629.XSHE,002797.XSHE
601601.XSHG,000723.XSHE,000031.XSHE
600176.XSHG,000728.XSHE,000623.XSHE
601166.XSHG,000959.XSHE,000629.XSHE
600690.XSHG,002008.XSHE,000723.XSHE
000338.XSHE,002500.XSHE,000728.XSHE
600104.XSHG,002625.XSHE,000959.XSHE
600031.XSHG,002673.XSHE,002008.XSHE
002230.XSHE,003031.XSHE,002500.XSHE
300274.XSHE,300676.XSHE,002625.XSHE
600570.XSHG,600032.XSHG,002673.XSHE
600741.XSHG,600095.XSHG,002736.XSHE
000425.XSHE,600118.XSHG,003031.XSHE
000333.XSHE,600155.XSHG,300676.XSHE
601628.XSHG,600208.XSHG,600009.XSHG
603899.XSHG,600516.XSHG,600015.XSHG
688126.XSHG,600578.XSHG,600032.XSHG
600588.XSHG,600598.XSHG,600095.XSHG
300628.XSHE,600871.XSHG,600118.XSHG
600030.XSHG,600909.XSHG,600155.XSHG
603806.XSHG,600925.XSHG,600208.XSHG
002410.XSHE,600956.XSHG,600516.XSHG
000651.XSHE,601000.XSHG,600578.XSHG
000157.XSHE,601016.XSHG,600598.XSHG
300832.XSHE,601118.XSHG,600837.XSHG
000708.XSHE,601555.XSHG,600871.XSHG
600837.XSHG,688348.XSHG,600909.XSHG
300750.XSHE,688779.XSHG,600918.XSHG
603392.XSHG,601155.XSHG,600925.XSHG
001979.XSHE,600927.XSHG,600956.XSHG
601688.XSHG,688063.XSHG,601000.XSHG
600585.XSHG,002185.XSHE,601016.XSHG
600660.XSHG,601828.XSHG,601118.XSHG
601898.XSHG,300595.XSHE,601555.XSHG
002352.XSHE,600157.XSHG,603392.XSHG
601633.XSHG,603737.XSHG,688348.XSHG
601788.XSHG,002497.XSHE,688779.XSHG
000768.XSHE,600352.XSHG,601006.XSHG
002049.XSHE,600377.XSHG,601155.XSHG
601066.XSHG,600109.XSHG,601238.XSHG
600584.XSHG,688297.XSHG,688126.XSHG
002271.XSHE,002202.XSHE,600927.XSHG
600415.XSHG,002608.XSHE,688063.XSHG
688981.XSHG,688525.XSHG,002185.XSHE
002415.XSHE,002690.XSHE,601828.XSHG
000063.XSHE,000778.XSHE,601901.XSHG
600918.XSHG,002340.XSHE,300595.XSHE
000538.XSHE,300763.XSHE,600157.XSHG
601211.XSHG,000519.XSHE,601169.XSHG
600039.XSHG,000898.XSHE,000002.XSHE
600436.XSHG,000937.XSHE,603737.XSHG
600036.XSHG,002487.XSHE,002497.XSHE
600989.XSHG,002506.XSHE,600104.XSHG
